shuffle_id,alignment_mean,alignment_positive_fraction,path_length,endpoint_distance,detour_ratio,curvature_mean,model,state_type,init_seed
21.0,0.0648818388581276,0.6296296296296297,8.232648849487305,0.8299576640129089,9.924479484558105,1.987253189086914,qwen,random_initialization,1701
22.0,0.05912989377975464,0.5925925925925926,7.863030910491943,0.8299576640129089,9.478311538696289,1.9969662427902222,qwen,random_initialization,1701
23.0,0.04717833921313286,0.5555555555555555,8.472587585449219,0.8299576640129089,10.21313190460205,1.9779144525527954,qwen,random_initialization,1701
24.0,0.042903825640678406,0.5185185185185184,7.760365009307861,0.8299576640129089,9.35473918914795,1.969094157218933,qwen,random_initialization,1701
25.0,0.04940260574221611,0.5555555555555555,8.630291938781738,0.8299576640129089,10.403735160827637,2.1558339595794678,qwen,random_initialization,1701
26.0,0.04828878119587898,0.5555555555555555,8.790555953979492,0.8299576640129089,10.596514701843262,2.0530683994293213,qwen,random_initialization,1701
27.0,0.05436420440673828,0.5925925925925926,10.280673027038574,0.8299576640129089,12.392986297607422,2.313823938369751,qwen,random_initialization,1701
28.0,0.05133330449461937,0.5555555555555555,6.057451248168945,0.8299576640129089,7.302178859710693,2.0548837184906006,qwen,random_initialization,1701
29.0,0.046526212245225906,0.5555555555555555,8.614352226257324,0.8299576640129089,10.384129524230957,2.070498466491699,qwen,random_initialization,1701
30.0,0.058862388134002686,0.5925925925925926,9.607730865478516,0.8299576640129089,11.581706047058105,2.206075668334961,qwen,random_initialization,1701
31.0,0.03194635733962059,0.48148148148148157,9.470902442932129,0.8299576640129089,11.416911125183105,2.1981422901153564,qwen,random_initialization,1701
32.0,0.014518976211547852,0.4444444444444446,9.727309226989746,0.8299576640129089,11.725701332092285,2.214104413986206,qwen,random_initialization,1701
33.0,0.04884791746735573,0.5555555555555555,8.398351669311523,0.8299576640129089,10.123906135559082,2.0826098918914795,qwen,random_initialization,1701
34.0,0.08410799503326416,0.7037037037037038,7.452547073364258,0.8299576640129089,8.984002113342285,1.9525423049926758,qwen,random_initialization,1701
35.0,0.029696309939026833,0.48148148148148157,8.074881553649902,0.8299576640129089,9.734046936035156,2.0507962703704834,qwen,random_initialization,1701
36.0,0.04786558821797371,0.5555555555555555,9.314460754394531,0.8299576640129089,11.22827434539795,2.140822172164917,qwen,random_initialization,1701
37.0,0.052315641194581985,0.5925925925925926,8.28616714477539,0.8299576640129089,9.98862075805664,2.105999231338501,qwen,random_initialization,1701
38.0,0.05955380201339722,0.5925925925925926,8.65394115447998,0.8299576640129089,10.432271003723145,2.058575391769409,qwen,random_initialization,1701
39.0,0.03992845118045807,0.5185185185185184,9.001425743103027,0.8299576640129089,10.850788116455078,2.204671621322632,qwen,random_initialization,1701
40.0,0.047711145132780075,0.5555555555555555,7.4978485107421875,0.8299576640129089,9.038748741149902,2.1012589931488037,qwen,random_initialization,1701
41.0,0.05343128368258476,0.5925925925925926,7.516805648803711,0.8299576640129089,9.061436653137207,2.045914888381958,qwen,random_initialization,1701
42.0,0.04849076643586159,0.5555555555555555,9.24914264678955,0.8299576640129089,11.149578094482422,2.0288069248199463,qwen,random_initialization,1701
43.0,0.04654533788561821,0.5555555555555555,9.14814281463623,0.8299576640129089,11.027544975280762,2.207554578781128,qwen,random_initialization,1701
44.0,0.027104588225483894,0.48148148148148157,8.889087677001953,0.8299576640129089,10.715347290039062,2.143204927444458,qwen,random_initialization,1701
45.0,0.024578290060162544,0.4444444444444446,7.577522277832031,0.8299576640129089,9.134178161621094,1.987952709197998,qwen,random_initialization,1701
46.0,0.02632855623960495,0.4444444444444446,8.162585258483887,0.8299576640129089,9.839571952819824,2.092237710952759,qwen,random_initialization,1701
47.0,0.051676541566848755,0.5555555555555555,8.211710929870605,0.8299576640129089,9.898759841918945,2.0692226886749268,qwen,random_initialization,1701
48.0,0.033200573176145554,0.48148148148148157,8.583192825317383,0.8299576640129089,10.346623420715332,2.0830161571502686,qwen,random_initialization,1701
49.0,0.052156854420900345,0.5555555555555555,9.543758392333984,0.8299576640129089,11.5050687789917,2.1741693019866943,qwen,random_initialization,1701
0.0,0.04836423322558403,0.5555555555555555,8.832110404968262,0.8348991274833679,10.582539558410645,2.2808761596679688,qwen,random_initialization,1702
