model,cutoff_layer,n_observed_layers,shuffle_id,permutation,r2,mae,pearson_r,spearman_rho,boundary_auroc,boundary_average_precision,boundary_brier,boundary_accuracy
qwen,24,5,25,independent_within_prompt_precurrent,0.5341700382916788,1.7072911855805706,0.7365772901938882,0.7089065655943867,0.838743524165519,0.6703137990691936,0.18406068724694907,0.8103448275862069
qwen,24,5,26,independent_within_prompt_precurrent,0.5413906656383491,1.6839422323683497,0.740204216746069,0.715102775293584,0.8413010689225523,0.6773871635966233,0.18301950176621776,0.8068965517241379
qwen,24,5,27,independent_within_prompt_precurrent,0.5378568736713414,1.699380126213223,0.7380941311284236,0.7129471654554054,0.8334972785100663,0.6655540993794318,0.18491390762601584,0.8103448275862069
qwen,24,5,28,independent_within_prompt_precurrent,0.5392354541645757,1.68904359591493,0.7387515026459981,0.7159161108476835,0.8426126303364155,0.6766983715301459,0.18009343312433318,0.8103448275862069
qwen,24,5,29,independent_within_prompt_precurrent,0.5256924609665594,1.7190584927495414,0.7314756672457137,0.7090841906004545,0.8345465276411568,0.6623990800541574,0.18563640873545104,0.8137931034482758
qwen,24,5,30,independent_within_prompt_precurrent,0.5324183958056083,1.7064864754906843,0.735376791673621,0.7100522714853246,0.8335628565807593,0.6543627906267165,0.18561777245135877,0.8103448275862069
qwen,24,5,31,independent_within_prompt_precurrent,0.5406204690648322,1.6750751742721737,0.7393807311780223,0.7127159085222979,0.8414978031346317,0.675781699086231,0.18209295328596034,0.8
qwen,24,5,32,independent_within_prompt_precurrent,0.5317268468811502,1.7102393764915684,0.7343689448194535,0.7083640958736398,0.8390714145189848,0.6623805039612278,0.18382585451605066,0.8
qwen,24,5,33,independent_within_prompt_precurrent,0.5298843714473425,1.7085953401959861,0.7340340739565033,0.7098704641730199,0.8388746803069054,0.6335227568261368,0.1819467552165754,0.803448275862069
qwen,24,5,34,independent_within_prompt_precurrent,0.539065523763897,1.6885087457514905,0.7387899532190465,0.712230514980786,0.8468096268607777,0.6931859113331513,0.18228882441887406,0.8103448275862069
qwen,24,5,35,independent_within_prompt_precurrent,0.5443621585167253,1.6789817249172294,0.7420196648704349,0.7157606274628707,0.8459571119417666,0.6879602200468948,0.1771958158094562,0.8172413793103448
qwen,24,5,36,independent_within_prompt_precurrent,0.5378028617436752,1.6920142082955474,0.7376674072146393,0.7125518145069971,0.8393337268017576,0.657306946614863,0.18474816745929323,0.8172413793103448
qwen,24,5,37,independent_within_prompt_precurrent,0.5373601128820608,1.7012948200190987,0.7384104377638566,0.7159503073516216,0.839136992589678,0.6701427031725053,0.18411700500616382,0.8068965517241379
qwen,24,5,38,independent_within_prompt_precurrent,0.5305082399059871,1.7114980168685605,0.7341404819578676,0.7089105018826098,0.8382844776706669,0.6627062981418056,0.18390837746820424,0.8103448275862069
qwen,24,5,39,independent_within_prompt_precurrent,0.5408650782608293,1.689615090241142,0.739590221476523,0.713702440758214,0.8453669093055283,0.690577065295049,0.18069228431175755,0.8137931034482758
qwen,24,5,40,independent_within_prompt_precurrent,0.5331798415655162,1.6966834471071772,0.7350511656050344,0.7111765738090494,0.843989769820972,0.6827095184877431,0.18148823991123766,0.8137931034482758
qwen,24,5,41,independent_within_prompt_precurrent,0.5372156666065373,1.7034321831949608,0.737831393936885,0.7140623651126142,0.8388091022362122,0.674998751924251,0.18282796980523427,0.8137931034482758
qwen,24,5,42,independent_within_prompt_precurrent,0.5366252061100475,1.681428390121834,0.7365211594731942,0.7102409673020198,0.8367106039740311,0.6550454640041672,0.18741072862670466,0.8068965517241379
