task,model,horizon,null_index,balanced_accuracy
lexical_category,qwen,0.75,60,0.6024691358024692
lexical_category,qwen,0.75,61,0.6311728395061729
lexical_category,qwen,0.75,62,0.6382716049382716
lexical_category,qwen,0.75,63,0.5972222222222222
lexical_category,qwen,0.75,64,0.5833333333333333
lexical_category,qwen,0.75,65,0.6265432098765432
lexical_category,qwen,0.75,66,0.6555555555555556
lexical_category,qwen,0.75,67,0.6225308641975309
lexical_category,qwen,0.75,68,0.6114197530864198
lexical_category,qwen,0.75,69,0.6092592592592593
lexical_category,qwen,0.75,70,0.5817901234567902
lexical_category,qwen,0.75,71,0.6160493827160494
lexical_category,qwen,0.75,72,0.5802469135802469
lexical_category,qwen,0.75,73,0.5370370370370371
lexical_category,qwen,0.75,74,0.6
lexical_category,qwen,0.75,75,0.605246913580247
lexical_category,qwen,0.75,76,0.5864197530864197
lexical_category,qwen,0.75,77,0.6404320987654322
lexical_category,qwen,0.75,78,0.6540123456790123
lexical_category,qwen,0.75,79,0.6151234567901234
lexical_category,qwen,0.75,80,0.5962962962962963
lexical_category,qwen,0.75,81,0.5969135802469137
lexical_category,qwen,0.75,82,0.6169753086419754
lexical_category,qwen,0.75,83,0.6305555555555555
lexical_category,qwen,0.75,84,0.6364197530864197
lexical_category,qwen,0.75,85,0.5953703703703703
lexical_category,qwen,0.75,86,0.6416666666666666
lexical_category,qwen,0.75,87,0.6030864197530864
lexical_category,qwen,0.75,88,0.6095679012345678
lexical_category,qwen,0.75,89,0.5916666666666667
lexical_category,qwen,0.75,90,0.5901234567901235
lexical_category,qwen,0.75,91,0.5953703703703703
lexical_category,qwen,0.75,92,0.6117283950617285
lexical_category,qwen,0.75,93,0.5478395061728395
lexical_category,qwen,0.75,94,0.6302469135802469
lexical_category,qwen,0.75,95,0.5858024691358025
lexical_category,qwen,0.75,96,0.5725308641975309
lexical_category,qwen,0.75,97,0.5790123456790124
lexical_category,qwen,0.75,98,0.620679012345679
lexical_category,qwen,0.75,99,0.6228395061728396
